id,Skin Care Clinic,Location,Services,Product,Rep_Name,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Total_Revenue
1,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Eric Chapman,1/1/2015,329530894,2/13/2015,73,1200,673088.14
2,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Cameron Harris,1/6/2015,515616118,2/5/2015,75,1200,53238.9
3,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Robert Jones,1/7/2015,386600577,1/29/2015,80,280,1117920.4
4,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Pippa Payne,1/10/2015,256994950,2/19/2015,88,500,6263026.44
5,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Isaac Robertson,1/13/2015,967328870,1/15/2015,65,600,242247.72
6,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Kylie Nolan,1/13/2015,480863702,1/28/2015,91,333,2999637.9
7,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Karen Payne,1/14/2015,131482589,1/20/2015,73,1200,1151598.5
8,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Stephanie Ellison,1/25/2015,546986377,2/10/2015,76,300,652889.82
9,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Wendy Nolan,1/27/2015,812613904,1/29/2015,73,1200,444464.15
10,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Owen Clarkson,2/12/2015,936042296,3/17/2015,72,1200,216893.95
11,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Una Terry,2/12/2015,403961122,3/20/2015,80,280,4340521.6
12,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Amanda Hamilton,2/17/2015,521445310,4/4/2015,88,500,4083129.7
13,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Elizabeth Dickens,2/20/2015,921992242,3/4/2015,65,600,559687.04
14,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Brady Super Black,Warren Short,2/22/2015,607757937,4/5/2015,80,280,74024.22
15,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Alexander Hodges,2/23/2015,607521903,4/5/2015,91,280,3411402.54
16,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Natalie Churchill,2/24/2015,731972110,4/15/2015,88,500,3691058.28
17,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Karen Clark,2/27/2015,220003211,3/18/2015,76,300,411050.52
18,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Kimberly Oliver,2/27/2015,494525372,3/2/2015,88,500,6617209.54
19,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Jennifer Taylor,2/28/2015,157542073,3/15/2015,88,500,6051184.85
20,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Joanne Clarkson,3/2/2015,670613467,3/21/2015,73,1200,392980.9
21,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Brady Super Black,Charles Smith,3/7/2015,769205892,3/17/2015,80,280,37058.76
22,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Eric Clarkson,3/11/2015,600124156,4/21/2015,76,300,1362386.82
23,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Michelle Lambert,3/11/2015,531405103,4/19/2015,73,1200,529042.04
24,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Demace Skincare,Ella Mackenzie,3/23/2015,861462724,4/19/2015,88,500,44951.94
25,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Angela Cornish,3/25/2015,732211148,4/14/2015,76,300,977274.9
26,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Eric Grant,3/27/2015,320368897,4/2/2015,88,500,2038938.51
27,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Steven Harris,3/27/2015,160299813,4/6/2015,76,500,1055652.4
28,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Bernadette Dickens,4/3/2015,393693625,4/9/2015,66,1200,73405.15
29,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Anthony Paige,4/4/2015,989928519,4/11/2015,88,500,457149.42
30,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Bella Simpson,4/7/2015,126767909,5/22/2015,65,900,250906.88
31,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Stephanie Lyman,4/9/2015,221975171,5/17/2015,76,500,1283773.7
32,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Amy Hemmings,4/10/2015,161442649,5/12/2015,76,500,683335.4
33,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Liam Wallace,4/11/2015,907513463,4/19/2015,65,900,246535.68
34,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Sophie Piper,4/14/2015,611816871,5/16/2015,88,500,5901916.23
35,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Mary Hemmings,4/16/2015,559352862,6/4/2015,65,600,310328.81
36,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Dan Lee,4/17/2015,151839911,5/22/2015,80,280,725314.8
37,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Sebastian Bell,4/17/2015,852176702,5/13/2015,88,500,4596361.06
38,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Owen Hill,4/18/2015,534085166,4/25/2015,76,300,995431.92
39,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Justin Welch,4/22/2015,942700612,6/6/2015,66,1200,233216.75
40,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Wendy Parr,4/30/2015,375630986,6/2/2015,87,700,1636600.08
41,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Joanne Wallace,5/2/2015,211114585,5/14/2015,88,500,1531645.92
42,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Demace Skincare,Maria Sharp,5/4/2015,624295365,6/23/2015,88,500,16112.91
43,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Megan Knox,5/6/2015,181045520,5/27/2015,76,500,873607.9
44,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Jacob Brown,5/15/2015,409873998,6/3/2015,80,280,4231658.8
45,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Demace Skincare,Leonard Paterson,5/18/2015,109966123,6/5/2015,88,500,2556.42
46,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Abigail Baker,5/18/2015,411448562,6/30/2015,66,1200,867049.68
47,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Ella Edmunds,5/18/2015,453089320,6/16/2015,80,280,3520771.6
48,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Eric Oliver,5/22/2015,325412309,7/7/2015,76,300,852617.04
49,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Brandon Arnold,5/22/2015,901180875,5/26/2015,76,500,1707721.4
50,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Lillian Henderson,5/24/2015,958840644,6/2/2015,76,300,169211.22
51,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Angela Rees,5/28/2015,985092818,7/17/2015,66,1200,460786.95
52,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Stephen Underwood,5/31/2015,304750287,6/1/2015,80,280,540816.4
53,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Ruth Mackay,6/1/2015,620441138,6/22/2015,66,1200,181020.5
54,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Isaac Piper,6/3/2015,909053695,6/27/2015,76,300,1227353.52
55,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Molly Hughes,6/8/2015,706399714,7/19/2015,65,900,899155.84
56,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Christopher Parr,6/9/2015,363276517,7/9/2015,76,300,68508.42
57,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Kimberly Payne,6/12/2015,285662829,7/13/2015,65,600,231622.82
58,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Zoe Walsh,6/16/2015,496897733,7/21/2015,65,600,158229.28
59,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Liam Paige,6/20/2015,953293836,7/22/2015,88,500,6306968.85
60,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Lily Peters,6/22/2015,944635236,7/27/2015,88,500,4827419.73
61,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Colin Smith,6/24/2015,977499377,8/12/2015,76,300,403268.94
62,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Robert Davies,6/28/2015,448685348,7/22/2015,65,900,526729.6
63,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Anna Baker,6/28/2015,450849997,7/21/2015,63,900,588800.64
64,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Carolyn Reid,6/29/2015,167787253,7/16/2015,66,1200,128177.92
65,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Diana Ince,7/2/2015,817824685,7/27/2015,87,700,345393.84
66,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Rose Fraser,7/2/2015,551725089,8/10/2015,91,280,2771395.41
67,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,James Duncan,7/11/2015,464626681,7/27/2015,88,500,1480218.05
68,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Amelia Graham,7/16/2015,551057326,8/22/2015,65,600,732545.99
69,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Christopher Short,7/16/2015,492689454,8/16/2015,65,600,540480.49
70,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,Wanda Bailey,7/17/2015,976871955,8/31/2015,66,1200,1074568.5
71,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Hannah Henderson,7/18/2015,207580077,7/18/2015,91,280,2705580.57
72,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Amelia Smith,7/19/2015,147047555,9/3/2015,65,600,285564.62
73,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Alexander Mackenzie,7/19/2015,770714795,8/26/2015,76,300,74764.2
74,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Owen Slater,7/19/2015,531693494,8/6/2015,66,1200,416373.75
75,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Prolab,William Springer,7/21/2015,211201774,9/9/2015,66,1200,1233250.3
76,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Julian Mackenzie,7/26/2015,363832271,9/12/2015,65,600,401212.57
77,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Gordon Hughes,7/26/2015,496941077,7/29/2015,65,600,389279.99
78,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Demace Skincare,Victoria Bell,7/26/2015,314004981,8/9/2015,88,500,92432.31
79,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Prolab,Tim Blake,7/29/2015,658348691,8/22/2015,66,1200,82682.46
